dataset,score,control,metric,mean,lower,upper,subjects
mhealth,APS,full_reference,coverage,-0.009929136546133078,-0.012111953602172437,-0.007997751793664081,10
mhealth,APS,full_reference,shortfall,0.010006538757638045,0.007611737160180259,0.012656248079271215,10
mhealth,APS,full_reference,size_fraction,-0.00044652840306842745,-0.0025092562038395803,0.0018373475766715092,10
mhealth,APS,deterministic,saving,0.2313829943862879,0.2215063879956248,0.24025617344816882,10
mhealth,APS,deterministic,coverage,-0.007034314441255185,-0.008496968945376555,-0.0057854811293318095,10
mhealth,APS,deterministic,shortfall,0.007375670121027278,0.005635452688949839,0.009267813717792466,10
mhealth,APS,deterministic,size_fraction,-0.0009432920912473191,-0.0027640040915741294,0.0007945465494511423,10
mhealth,APS,two_plan,saving,0.09355732595505582,0.08991927668376991,0.09680887505864813,10
mhealth,APS,two_plan,coverage,-0.003061005849070175,-0.004850754398124499,-0.0015692455264269994,10
mhealth,APS,two_plan,shortfall,0.003336341961587884,0.0019666219048919604,0.005193684446315195,10
mhealth,APS,two_plan,size_fraction,0.0005615607625746005,-0.0015888241611777343,0.0026762118633783466,10
mhealth,APS,restricted_b4,saving,0.11038181998579363,0.09973580354311949,0.12060865163136598,10
mhealth,APS,restricted_b4,coverage,-0.0009487401642727322,-0.002471026763471921,0.000566824682489994,10
mhealth,APS,restricted_b4,shortfall,0.0007374437621501797,-0.0007846584068214464,0.002281927108745475,10
mhealth,APS,restricted_b4,size_fraction,-0.00014393178860389876,-0.0024045884705084486,0.0023904141600478383,10
mhealth,APS,restricted_b8,saving,0.15188917880912356,0.13411836057318396,0.17139828940669202,10
mhealth,APS,restricted_b8,coverage,-0.004444092389269983,-0.006527149214183952,-0.0026910370332099555,10
mhealth,APS,restricted_b8,shortfall,0.004187646675692255,0.0023960278763445328,0.0063400254989220235,10
mhealth,APS,restricted_b8,size_fraction,-0.0026624124956245525,-0.003985202693132436,-0.0011093855223725426,10
mhealth,APS,fixed_50,saving,-0.019973144571945052,-0.03661169999229097,-0.0030078189578418494,10
mhealth,APS,fixed_50,coverage,0.007085210739310066,0.00547096426303438,0.00868377577158574,10
mhealth,APS,fixed_50,shortfall,-0.006670058857575397,-0.008050912405318652,-0.005255070900129106,10
mhealth,APS,fixed_50,size_fraction,0.006285831048657983,0.004370713266424174,0.008405951948555316,10
mhealth,APS,variance_save,saving,0.05467663121494627,0.03201712906774861,0.0783707830819163,10
mhealth,APS,variance_save,coverage,-0.004607878777747354,-0.007023921083781535,-0.002372889181924142,10
mhealth,APS,variance_save,shortfall,0.004458709975998153,0.002333408595946373,0.006909013261902798,10
mhealth,APS,variance_save,size_fraction,-0.0012127750332522752,-0.0033206910339849014,0.0010806498833066775,10
mhealth,APS,matched_b4,saving,-0.004043781487687775,-0.004182206637638842,-0.003896076658230388,10
mhealth,APS,matched_b4,coverage,-0.0020217681373457695,-0.004484035421263045,0.00033577121055056955,10
mhealth,APS,matched_b4,shortfall,0.0005534242331311744,-0.0015143676945174296,0.0025906908890644905,10
mhealth,APS,matched_b4,size_fraction,-0.004127857483240282,-0.0072939017858754465,-0.001132533914839801,10
mhealth,APS,matched_b8,saving,-0.004998518201010676,-0.0052297928670407634,-0.0047750269350231534,10
mhealth,APS,matched_b8,coverage,-0.004178655180029767,-0.008477165015927574,-0.0002093543702300886,10
mhealth,APS,matched_b8,shortfall,0.003291027826160435,-0.00036161766626588605,0.007196748448685523,10
mhealth,APS,matched_b8,size_fraction,-0.0067810108685552924,-0.010517091252692767,-0.003292671837025237,10
mhealth,LAC,full_reference,saving,0.4237670735880843,0.39759154864272145,0.44787147282403217,10
mhealth,LAC,full_reference,coverage,-0.009876021289765103,-0.01461823640416794,-0.005187054438928757,10
mhealth,LAC,full_reference,shortfall,0.011393389754130073,0.007181286681583542,0.015861850079128107,10
mhealth,LAC,full_reference,size_fraction,0.006640204332196105,0.0026263826142467663,0.010847040356739135,10
mhealth,LAC,deterministic,saving,0.18716478127165043,0.16650738656728695,0.20760363339187066,10
mhealth,LAC,deterministic,coverage,-0.005541352095637653,-0.008064282465519955,-0.0027890954278078054,10
mhealth,LAC,deterministic,shortfall,0.006452804216540609,0.00443402559849545,0.008390260057575457,10
mhealth,LAC,deterministic,size_fraction,0.00395559254837053,0.0012035365261551087,0.007084053529078144,10
mhealth,LAC,two_plan,saving,0.07791614108432506,0.06694550529022289,0.09026315413464531,10
mhealth,LAC,two_plan,coverage,-0.0029723800690999226,-0.004606277621075221,-0.0014241367495488536,10
mhealth,LAC,two_plan,shortfall,0.0033027887990054,0.002162741147350358,0.004432200992784774,10
mhealth,LAC,two_plan,size_fraction,0.002117969413255108,0.0005252846229594543,0.003776917178098229,10
mhealth,LAC,restricted_b4,saving,0.09532777539969828,0.08126143068935396,0.11011812695543924,10
mhealth,LAC,restricted_b4,coverage,-0.0036035132525593537,-0.007114402997711343,-0.0002050851877977389,10
mhealth,LAC,restricted_b4,shortfall,0.003389367341062671,0.0011335002447612832,0.0058108025519338765,10
mhealth,LAC,restricted_b4,size_fraction,0.0015206590676830737,-0.0005064188852341153,0.00378961015886661,10
mhealth,LAC,restricted_b8,saving,0.1392865318358131,0.1273388900467307,0.152282102820378,10
mhealth,LAC,restricted_b8,coverage,-0.009797645996346893,-0.01533781255209389,-0.00522447410800308,10
mhealth,LAC,restricted_b8,shortfall,0.0093126578470802,0.005178402993127016,0.014197811590896049,10
mhealth,LAC,restricted_b8,size_fraction,-0.0019967631231397305,-0.0037458199679535668,-0.0002155666295056118,10
mhealth,LAC,fixed_50,saving,-0.051043887852864026,-0.07788135312934794,-0.028045984142501996,10
mhealth,LAC,fixed_50,coverage,0.005020201531285273,0.0012243208698840475,0.008904577835570814,10
mhealth,LAC,fixed_50,shortfall,-0.0046979955309008545,-0.0076893559276652364,-0.0018471585205289116,10
mhealth,LAC,fixed_50,size_fraction,0.000768394922049205,-0.001986676715993937,0.0037464218448332253,10
mhealth,LAC,variance_save,saving,0.008151588574126734,-0.015069730561275032,0.03076733251443161,10
mhealth,LAC,variance_save,coverage,-0.007736532592081458,-0.014148885790679515,-0.0021039574373464534,10
mhealth,LAC,variance_save,shortfall,0.007540426235267029,0.0025028041991094607,0.013582820274681873,10
mhealth,LAC,variance_save,size_fraction,-0.007038236915238078,-0.012259147552095168,-0.0016896825998287926,10
mhealth,LAC,matched_b4,saving,-0.0041690333259766284,-0.0042724859118652685,-0.004060149493002962,10
mhealth,LAC,matched_b4,coverage,-0.006603084875953125,-0.010738888447149066,-0.00283436218709171,10
mhealth,LAC,matched_b4,shortfall,0.004854041925275818,0.0022812027247146455,0.00762222274862601,10
mhealth,LAC,matched_b4,size_fraction,-0.0034545051545991816,-0.006238540426296226,-0.000491183461446713,10
