dataset,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
pamap2,APS,martingale,0.25,0.8913560555143837,5.919052096599814,0.037597350795726035,0.0007188826368273974,0.01367519482227357,-0.000477611858734243,266.3666666666667,0.011142939814814788
pamap2,APS,martingale,0.5,0.8956210170330102,5.99700420645566,0.03486509281955738,0.004983844155453922,0.09162730467811848,-0.00320986983490289,257.46458333333334,0.03889178240740738
pamap2,APS,martingale,1.0,0.9076230077910065,6.258871258831589,0.02845585173120585,0.01698583491345017,0.3534943570540474,-0.009619110923254414,232.39166666666665,0.12076099537037034
pamap2,APS,midpoint,0.5,0.890727381486048,5.9095132486957,0.038088985499161454,9.020860849177143e-05,0.0041363469181587694,1.4022844701159277e-05,240.0875,0.09865740740740736
pamap2,APS,no_intersection,0.5,0.8969718096000333,6.025166090629824,0.03405220789633486,0.0063346367224769865,0.11978918885228235,-0.004022754758125405,245.59583333333333,0.07951099537037033
pamap2,APS,one_look_50,0.5,0.9286934592698516,6.974269974186345,0.019314571967552024,0.038056286392295316,1.0688930724088037,-0.018760390686908247,135.0,0.5000000000000002
pamap2,APS,sparse_checks,0.5,0.8935272234808066,5.9600095292453,0.03620736887313118,0.002890050603250446,0.054632627467759265,-0.0018675937813290942,251.38125,0.05903067129629628
pamap2,APS,uncorrected,0.5,0.8968585206110639,6.030609796893725,0.03435101732026134,0.0062213477335075805,0.12523289511618482,-0.0037239453341989266,217.49791666666667,0.16758680555555552
pamap2,LAC,fixed_25,0.5,0.8731860768294645,3.109570959495453,0.061311760803918015,0.0018066896811681813,0.17618682477043937,0.0007315444728469102,67.5,0.7500000000000004
pamap2,LAC,fixed_50,0.5,0.8715363653569762,2.9821839556086194,0.0613446059153237,0.0001569782086799497,0.048799820883606154,0.0007643895842525876,135.0,0.5000000000000002
pamap2,LAC,fixed_75,0.5,0.8716142743594587,2.948767232719199,0.06071794991649245,0.00023488721116240983,0.015383097994186003,0.00013773358542134605,202.5,0.2500000000000001
pamap2,LAC,full_reference,0.5,0.8713793871482963,2.933384134725013,0.06058021633107111,0.0,0.0,0.0,270.0,0.0
pamap2,LAC,horizon,0.1,0.8719060040193699,2.936687186985259,0.06011887177518793,0.0005266168710736514,0.00330305226024578,-0.0004613445558831625,266.34791666666666,0.011863425925925888
pamap2,LAC,horizon,0.25,0.8754438152569866,2.9734220996616667,0.057596695832723144,0.004064428108690207,0.04003796493665341,-0.0029835204983479392,251.33333333333334,0.061177662037037
pamap2,LAC,horizon,0.5,0.8827371044604814,3.0843703594261473,0.053265490035977366,0.011357717312185113,0.15098622470113393,-0.0073147262950937104,221.79583333333335,0.16195023148148144
pamap2,LAC,horizon,1.0,0.8951260886248232,3.346060915451806,0.04654678987513058,0.023746701476526893,0.41267678072679237,-0.014033426455940504,175.38750000000002,0.3240914351851852
pamap2,LAC,hypergeom,0.1,0.8717980560830143,2.9359046387221213,0.06021054100642731,0.0004186689347179693,0.0025205039971081433,-0.0003696753246437826,268.52500000000003,0.004791666666666635
pamap2,LAC,hypergeom,0.25,0.8754286982303925,2.97011074334776,0.05753182104406418,0.004049311082096145,0.03672660862274636,-0.0030483952870069067,257.77708333333334,0.03987847222222218
pamap2,LAC,hypergeom,0.5,0.8829320487442444,3.0820331226216595,0.05305715564600331,0.011552661595947998,0.14864898789664616,-0.007523060685067771,233.69791666666666,0.12021990740740736
