dataset,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
mhealth,LAC,martingale,0.25,0.9085257882076839,1.5441802554220183,0.024057567262836196,0.017866548003039526,0.0851078058615382,-0.010068907054622765,266.84583333333336,0.1596006944444444
mhealth,LAC,martingale,0.5,0.9250521592356383,1.671851952782831,0.014468186021481208,0.03439291903099386,0.2127795032223508,-0.01965828829597776,211.2,0.3091666666666667
mhealth,LAC,martingale,1.0,0.9446834808945144,1.9355546510923167,0.007289823879989558,0.05402424068986987,0.4764822015318365,-0.02683665043746941,154.50833333333333,0.4656597222222223
mhealth,LAC,midpoint,0.5,0.883429886724476,1.4321058515673342,0.03917659196120955,-0.007229353480168472,-0.02696659799314601,0.00505011764375056,165.575,0.4516840277777778
mhealth,LAC,no_intersection,0.5,0.9228774198272677,1.6629909804538991,0.015531928746830676,0.032218179622623175,0.2039185308934189,-0.018594545570628288,169.53333333333333,0.44060763888888893
mhealth,LAC,one_look_50,0.5,0.9223833628053462,1.981088665711126,0.018217759944904096,0.03172412260070161,0.5220162161506458,-0.015908714372554863,165.0,0.5000000000000002
mhealth,LAC,sparse_checks,0.5,0.9185213216017922,1.6065260148135603,0.0182727539185225,0.02786208139714774,0.14745356525308004,-0.015853720398936462,176.67083333333332,0.4207812500000001
mhealth,LAC,uncorrected,0.5,0.9218546382825228,1.6623082762345902,0.01631864234387114,0.031195398077878318,0.20323582667410992,-0.01780783197358782,132.49166666666667,0.5317881944444445
pamap2,APS,fixed_25,0.5,0.8897934412765957,6.004173268653875,0.040613287632786675,-0.0008437316009606675,0.09879636687633321,0.002538324978326368,67.5,0.7500000000000004
pamap2,APS,fixed_50,0.5,0.8899446593508674,5.937995635310817,0.03918161467411665,-0.0006925135266889156,0.03261873353327645,0.0011066520196563476,135.0,0.5000000000000002
pamap2,APS,fixed_75,0.5,0.8907382237266274,5.920167714720166,0.038251790789388965,0.00010105084907111977,0.01479081294262464,0.0001768281349286638,202.5,0.2500000000000001
pamap2,APS,full_reference,0.5,0.8906371728775562,5.905376901777541,0.038074962654460295,0.0,0.0,0.0,270.0,0.0
pamap2,APS,horizon,0.1,0.8906665996380133,5.906911811869243,0.03809201170274003,2.9426760456991224e-05,0.0015349100917015819,1.7049048279734057e-05,266.80625000000003,0.010538194444444407
pamap2,APS,horizon,0.25,0.8919951623815524,5.931213198664774,0.037198172034911395,0.0013579895039961827,0.025836296887232085,-0.000876790619548886,259.2583333333333,0.035017361111111076
pamap2,APS,horizon,0.5,0.8969268948443592,6.026296466679217,0.03417873597522497,0.006289721966802886,0.12091956490167662,-0.003896226679235298,240.0875,0.09865740740740736
pamap2,APS,horizon,1.0,0.9079841046014256,6.2756893541209715,0.028284351425371737,0.017346931723869297,0.3703124523434303,-0.009790611229088529,197.32916666666665,0.24672743055555554
pamap2,APS,hypergeom,0.1,0.8907059855861837,5.907328633290702,0.03805009228902234,6.881270862749233e-05,0.0019517315131611758,-2.4870365437950744e-05,268.0708333333333,0.006206597222222198
pamap2,APS,hypergeom,0.25,0.8917763110454678,5.926113961037811,0.03729273602294098,0.0011391381679115833,0.02073705926027036,-0.0007822266315192942,263.21666666666664,0.021990740740740703
pamap2,APS,hypergeom,0.5,0.8968517447626239,6.022950608325292,0.03415903702396627,0.0062145718850676185,0.11757370654775108,-0.0039159256304940005,248.11666666666667,0.07154513888888885
pamap2,APS,hypergeom,1.0,0.9086006342341187,6.285050475875774,0.027872302354584596,0.017963461356562356,0.3796735740982331,-0.010202660299875668,212.8375,0.19185763888888885
pamap2,APS,martingale,0.1,0.8906936294232324,5.906865876006929,0.03805509295061869,5.645654567613023e-05,0.00148897422938776,-1.9869703841601977e-05,268.99375000000003,0.0030700231481481377
