dataset,model,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
pamap2,MR,APS,hypergeom,1.0,0.9098077545468845,5.911965397330429,0.01917250625323002,0.01970666814690688,0.4117714320707826,-0.010340695044742786,221.05625,0.16379340277777774
pamap2,MR,APS,martingale,0.1,0.89011170144744,5.500353190971584,0.029508632584522538,1.061504746251125e-05,0.000159225711937685,-4.568713450291875e-06,269.9875,5.2083333333332496e-05
pamap2,MR,APS,martingale,0.25,0.8904249018843061,5.50434264132709,0.029299155003772753,0.00032381548432860503,0.004148676067443968,-0.00021404629420006689,269.45,0.0015972222222222013
pamap2,MR,APS,martingale,0.5,0.8947388982754759,5.578536791341669,0.026768588690611904,0.004637811875498393,0.07834282608202267,-0.002744612607360895,263.375,0.019809027777777755
pamap2,MR,APS,martingale,1.0,0.9084520780212755,5.873141911345969,0.019956626606528163,0.018350991621297948,0.37294794608632237,-0.009556574691444638,240.5625,0.09266493055555552
pamap2,MR,APS,midpoint,0.5,0.890179027219703,5.505475595521627,0.029634454281234054,7.794081972551541e-05,0.005281630261980728,0.000121252983261212,249.2,0.06755208333333329
pamap2,MR,APS,no_intersection,0.5,0.8964608164748769,5.614862829966935,0.02577719069579038,0.006359730074899347,0.1146688647072883,-0.0037360106021824173,254.76250000000002,0.04801215277777774
pamap2,MR,APS,one_look_50,0.5,0.9339899643533369,6.674523951790397,0.010217974338817899,0.04388887795335927,1.1743299865307508,-0.019295226959154907,135.0,0.5000000000000002
pamap2,MR,APS,sparse_checks,0.5,0.8925814433287604,5.546026970921087,0.028134711652306826,0.0024803569287829407,0.045833005661440544,-0.001378489645665986,259.55,0.03180555555555553
pamap2,MR,APS,uncorrected,0.5,0.89622797163479,5.621068848444086,0.026214232673714616,0.006126885234812291,0.12087488318443931,-0.003298968624258186,227.6625,0.13311631944444438
pamap2,MR,LAC,fixed_25,0.5,0.886185923166001,2.5282319398667767,0.04498579741242213,0.000523169868447148,0.19970315620472037,0.0016513017612086926,67.5,0.7500000000000004
pamap2,MR,LAC,fixed_50,0.5,0.8858122281704979,2.391612601316362,0.04410156253216095,0.00014947487294411687,0.06308381765430575,0.0007670668809475091,135.0,0.5000000000000002
pamap2,MR,LAC,fixed_75,0.5,0.886036790072655,2.3528721761185167,0.043381406960953675,0.00037403677510122177,0.02434339245646068,4.691130974023172e-05,202.5,0.2500000000000001
pamap2,MR,LAC,full_reference,0.5,0.8856627532975537,2.3285287836620565,0.04333449565121344,0.0,0.0,0.0,270.0,0.0
pamap2,MR,LAC,horizon,0.1,0.8860363763660791,2.3321385252704667,0.04301548029087654,0.0003736230685253769,0.0036097416084105334,-0.0003190153603368832,266.93125,0.010529513888888854
pamap2,MR,LAC,horizon,0.25,0.8889788672661,2.3684093349716604,0.04103915466140388,0.0033161139685461334,0.03988055130960397,-0.002295340989809537,252.925,0.056788194444444405
pamap2,MR,LAC,horizon,0.5,0.8964117099624194,2.4860262293782496,0.03708846759108742,0.010748956664865557,0.1574974457161935,-0.006246028060125992,223.51875,0.15643229166666664
pamap2,MR,LAC,horizon,1.0,0.9097342924669467,2.7565570958659515,0.0302140946328086,0.02407153916939282,0.42802831220389514,-0.01312040101840481,173.09375,0.33343750000000005
pamap2,MR,LAC,hypergeom,0.1,0.8859490254572702,2.331116484340029,0.04309585257649518,0.000286272159716438,0.002587700677972991,-0.00023864307471824014,268.575,0.00459201388888886
pamap2,MR,LAC,hypergeom,0.25,0.8887153174702526,2.3630413124863736,0.041148838354651746,0.003052564172698804,0.03451252882431754,-0.002185657296561675,258.73125,0.037144097222222186
pamap2,MR,LAC,hypergeom,0.5,0.8965726779814368,2.481171299057906,0.03674333730083163,0.010909924683882962,0.15264251539584964,-0.006591158350381781,235.01875,0.11627604166666665
pamap2,MR,LAC,hypergeom,1.0,0.9104026063969768,2.762841712257858,0.02970016423550209,0.024739853099422903,0.4343129285958019,-0.013634331415711323,190.6125,0.26785590277777777
pamap2,MR,LAC,martingale,0.1,0.8857749590599581,2.3296323351475,0.0432328361456187,0.00011220576240432962,0.0011035514854438849,-0.00010165950559473437,269.59375,0.0012065972222222087
pamap2,MR,LAC,martingale,0.25,0.88784617738515,2.352684437254541,0.04171986636002339,0.0021834240875962356,0.024155653592484942,-0.0016146292911900326,264.4625,0.016744791666666644
pamap2,MR,LAC,martingale,0.5,0.8952595148240391,2.4578762801483225,0.03738391585741255,0.00959676152648529,0.12934749648626614,-0.005950579793800861,249.38125000000002,0.06427083333333332
pamap2,MR,LAC,martingale,1.0,0.909544239028967,2.7433881142458096,0.030169745478325963,0.023881485731413098,0.4148593305837534,-0.013164750172887445,215.15,0.17840277777777777
pamap2,MR,LAC,midpoint,0.5,0.8830486890238678,2.3104992560247615,0.04553378454920948,-0.0026140642736860453,-0.01802952763729495,0.002199288897996012,223.51875,0.15643229166666664
pamap2,MR,LAC,no_intersection,0.5,0.8962680213849441,2.479610982355197,0.037049604001765844,0.010605268087390181,0.15108219869314057,-0.0062848916494475625,229.28125,0.13578993055555555
pamap2,MR,LAC,one_look_50,0.5,0.9209210495411566,3.4863075228189446,0.027021549247600134,0.03525829624360278,1.1577787391568881,-0.016312946403613277,135.0,0.5000000000000002
pamap2,MR,LAC,sparse_checks,0.5,0.892363117163877,2.41485356568925,0.03911595652417286,0.006700363866323089,0.08632478202719389,-0.004218539127040553,237.1375,0.10849826388888888
pamap2,MR,LAC,uncorrected,0.5,0.8962088408040355,2.488069765251974,0.03715120270994112,0.010546087506481646,0.15954098158991795,-0.006183292941272283,197.19375,0.23648437499999997
