dataset,score,policy,tolerance,bracket_failure,containment_failure,inflation_exceeded,actual_inflation,saving
har,LAC,one_look_50,0.5,0.028125,0.015416666666666667,0.030416666666666665,0.13195296246088198,0.5
har,LAC,sparse_checks,0.5,0.017083333333333336,0.00625,0.0006250000000000001,0.21832701511398156,0.7219574652777777
har,LAC,uncorrected,0.5,0.045625,0.015000000000000001,0.003125,0.21797788621532466,0.7598394097222222
mhealth,APS,fixed_25,0.5,0.9633333333333333,0.40895833333333337,0.17958333333333334,0.09480261288607053,0.75
mhealth,APS,fixed_50,0.5,0.9197916666666667,0.415625,0.07416666666666667,0.029777888823888224,0.5
mhealth,APS,fixed_75,0.5,0.8641666666666666,0.39416666666666667,0.022708333333333334,0.009703641583980798,0.25
mhealth,APS,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
mhealth,APS,horizon,0.1,0.028125,0.017291666666666667,0.009583333333333334,0.00457945200067751,0.009722222222222215
mhealth,APS,horizon,0.25,0.03895833333333333,0.021875,0.010416666666666666,0.049262326786920795,0.051770833333333315
mhealth,APS,horizon,0.5,0.04375,0.022916666666666665,0.010000000000000002,0.17004339943742297,0.1619097222222222
mhealth,APS,horizon,1.0,0.035208333333333335,0.015416666666666667,0.008541666666666668,0.4182225804310255,0.3802951388888889
mhealth,APS,hypergeom,0.1,0.010833333333333334,0.005416666666666667,0.004375,0.0034254222513245337,0.004253472222222219
mhealth,APS,hypergeom,0.25,0.015000000000000001,0.007291666666666667,0.005208333333333333,0.04470040292002705,0.03381944444444443
mhealth,APS,hypergeom,0.5,0.017291666666666667,0.007291666666666667,0.004375,0.1729526738455887,0.1193923611111111
mhealth,APS,hypergeom,1.0,0.013333333333333334,0.004583333333333333,0.003958333333333334,0.42832570179406365,0.3068055555555555
mhealth,APS,martingale,0.1,0.0033333333333333335,0.0004166666666666667,0.002916666666666667,0.0015376497377505094,0.0014062499999999986
mhealth,APS,martingale,0.25,0.003541666666666667,0.0004166666666666667,0.0020833333333333333,0.03742027591393336,0.017812499999999988
mhealth,APS,martingale,0.5,0.003958333333333334,0.0006250000000000001,0.0025000000000000005,0.15754520124948124,0.07177083333333331
mhealth,APS,martingale,1.0,0.004375,0.0008333333333333334,0.0018750000000000001,0.425423674528624,0.22416666666666663
mhealth,APS,midpoint,0.5,0.3645833333333333,0.34375,0.003125,0.0022483656724670677,0.1619097222222222
mhealth,APS,no_intersection,0.5,0.005625000000000001,0.004583333333333333,0.0008333333333333334,0.16899761618993264,0.13654513888888886
mhealth,APS,one_look_50,0.5,0.03125,0.016666666666666666,0.5314583333333334,0.7452627544849536,0.5
mhealth,APS,sparse_checks,0.5,0.026041666666666668,0.012083333333333335,0.005625000000000001,0.046112642601383785,0.08234375
mhealth,APS,uncorrected,0.5,0.12520833333333334,0.059375,0.03625,0.16620039160657926,0.26437499999999997
mhealth,LAC,fixed_25,0.5,0.956875,0.39145833333333335,0.09166666666666666,0.10230331035159589,0.75
mhealth,LAC,fixed_50,0.5,0.9254166666666667,0.4170833333333333,0.033125,0.016767491412047583,0.5
mhealth,LAC,fixed_75,0.5,0.8627083333333334,0.3875,0.014791666666666667,0.0074924843192395365,0.25
