dataset,score,baseline,metric,difference,ci_low,ci_high,subjects
wisdm,LAC,hypergeom,shortfall,4.044375834687024e-06,-2.2527448619272315e-05,3.0645818974680026e-05,51
wisdm,LAC,hypergeom,delta_coverage,2.617859660191441e-05,-1.9507308430587028e-06,5.3489384136119495e-05,51
wisdm,LAC,hypergeom,delta_size,0.002198130685416504,0.0016177859582922388,0.0027498820426463326,51
wisdm,LAC,hypergeom,delta_shortfall,4.0443758346832955e-06,-2.2527448619276723e-05,3.0645818974675655e-05,51
wisdm,LAC,hypergeom,queried,-14.173611111111121,-14.54616013071896,-13.778594771241837,51
wisdm,LAC,hypergeom,saving,0.022307325708061005,0.021526054432189544,0.02305623638344227,51
wisdm,LAC,martingale,coverage,0.0005426117235721641,0.0004822657913770755,0.000601326989274191,51
wisdm,LAC,martingale,set_size,0.01665210077510758,0.015733702700265938,0.017586964690993065,51
wisdm,LAC,martingale,shortfall,-0.000297221893309457,-0.0003674947394441118,-0.00022769174722329376,51
wisdm,LAC,martingale,delta_coverage,0.0005426117235721511,0.00048226579137708263,0.0006013269892741724,51
wisdm,LAC,martingale,delta_size,0.01665210077510759,0.015733702700265917,0.01758696469099315,51
wisdm,LAC,martingale,delta_shortfall,-0.00029722189330945545,-0.00036749473944411076,-0.0002276917472232916,51
wisdm,LAC,martingale,queried,-24.862336601307195,-25.464869281045758,-24.22670547385622,51
wisdm,LAC,martingale,saving,0.040957754629629625,0.03967184095860566,0.04218624472358387,51
wisdm,LAC,full_reference,coverage,0.004047964266345067,0.0035950273976353454,0.004495568343202454,51
wisdm,LAC,full_reference,set_size,0.12205113774511896,0.11701517444862948,0.12722080513679937,51
wisdm,LAC,full_reference,shortfall,-0.0022540804164295253,-0.0028202269784584405,-0.001698520318259377,51
wisdm,LAC,full_reference,delta_coverage,0.004047964266345007,0.0035950273976352795,0.004495568343202398,51
wisdm,LAC,full_reference,delta_size,0.1220511377451188,0.11701517444862934,0.12722080513679898,51
wisdm,LAC,full_reference,delta_shortfall,-0.0022540804164295058,-0.0028202269784584192,-0.0016985203182593596,51
