subject,score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
4,APS,120,fixed_25,0.9155083333333334,2.924066666666667,-0.005254166666666654,0.12724027777777774,30.0,0.7500000000000004
4,APS,120,fixed_50,0.9195902777777778,2.8418374999999996,-0.0011722222222222268,0.0450111111111111,60.0,0.5000000000000002
4,APS,120,fixed_75,0.9202347222222222,2.809006944444444,-0.0005277777777777622,0.01218055555555554,90.0,0.2500000000000001
4,APS,120,full_reference,0.9207625,2.796826388888889,0.0,0.0,120.0,0.0
4,APS,240,CS_beta_9_1,0.9386902777777777,3.001033333333333,0.01719444444444441,0.2198597222222222,182.56666666666666,0.23930555555555555
4,APS,240,CS_uniform,0.9395361111111112,3.008615277777778,0.018040277777777728,0.22744166666666663,192.9,0.19624999999999995
4,APS,240,HG,0.9382930555555556,3.000561111111111,0.016797222222222172,0.21938749999999999,172.7,0.2804166666666667
4,APS,240,JRC,0.9381513888888889,2.9968125,0.016655555555555507,0.21563888888888885,157.33333333333334,0.34444444444444444
4,APS,240,fixed_25,0.9208930555555557,2.8463138888888886,-0.0006027777777777698,0.06514027777777774,60.0,0.7500000000000004
4,APS,240,fixed_50,0.9213194444444444,2.807926388888889,-0.0001763888888888782,0.02675277777777778,120.0,0.5000000000000002
4,APS,240,fixed_75,0.9214513888888889,2.7903749999999996,-4.444444444444447e-05,0.009201388888888901,180.0,0.2500000000000001
4,APS,240,full_reference,0.9214958333333333,2.7811736111111114,0.0,0.0,240.0,0.0
4,LAC,120,CS_beta_9_1,0.9679861111111111,1.9112486111111113,0.005608333333333282,0.08656527777777771,109.03333333333333,0.09138888888888883
4,LAC,120,CS_uniform,0.9655291666666667,1.8885597222222221,0.003151388888888864,0.06387638888888883,112.63333333333334,0.061388888888888854
4,LAC,120,HG,0.9694069444444444,1.9378569444444445,0.007029166666666623,0.11317361111111109,103.86666666666666,0.13444444444444442
4,LAC,120,JRC,0.9699763888888888,1.9404444444444444,0.007598611111111073,0.11576111111111108,97.1,0.19083333333333333
4,LAC,120,fixed_25,0.9552583333333332,1.9912305555555556,-0.007119444444444429,0.16654722222222224,30.0,0.7500000000000004
4,LAC,120,fixed_50,0.9583791666666667,1.866572222222222,-0.003998611111111094,0.04188888888888887,60.0,0.5000000000000002
4,LAC,120,fixed_75,0.9615722222222222,1.840326388888889,-0.0008055555555555402,0.01564305555555554,90.0,0.2500000000000001
4,LAC,120,full_reference,0.9623777777777779,1.8246833333333337,0.0,0.0,120.0,0.0
4,LAC,240,CS_beta_9_1,0.9739041666666667,1.9913055555555557,0.012952777777777728,0.1993958333333333,191.73333333333332,0.2011111111111111
4,LAC,240,CS_uniform,0.9734958333333332,1.9852416666666666,0.012544444444444402,0.1933319444444444,202.0,0.1583333333333333
